Time,com-cluster-io.min-lat cluster-2 (us),com-cluster-io.max-lat cluster-2 (us),com-cluster-io.avg-lat cluster-2 (us)
2017-11-06 22:58:23,63,12255,248
2017-11-06 23:03:23,64,9496,262
2017-11-06 23:08:23,63,9479,274
2017-11-06 23:13:23,59,14484,243
2017-11-06 23:18:23,62,8183,232
2017-11-06 23:23:23,64,11125,230
2017-11-06 23:28:23,59,13024,238
2017-11-06 23:33:23,58,11082,237
2017-11-06 23:38:23,66,16147,260
2017-11-06 23:43:23,63,7152,217
2017-11-06 23:48:23,59,19548,262
2017-11-06 23:53:23,63,24028,240
2017-11-06 23:58:23,60,12070,251
2017-11-07 00:03:23,65,9065,250
2017-11-07 00:08:23,66,16544,254
2017-11-07 00:13:23,63,12701,259
2017-11-07 00:18:23,59,26877,269
2017-11-07 00:23:23,61,13632,262
2017-11-07 00:28:23,65,12141,263
2017-11-07 00:33:23,64,13294,283
2017-11-07 00:38:23,63,7399,265
2017-11-07 00:43:23,65,14438,324
2017-11-07 00:48:23,63,11696,271
2017-11-07 00:53:23,64,9031,335
2017-11-07 00:58:23,65,12088,291
2017-11-07 01:03:23,64,15715,314
2017-11-07 01:08:23,64,12841,308
2017-11-07 01:13:23,59,15203,282
2017-11-07 01:18:23,61,13534,268
2017-11-07 01:23:23,64,15455,284
2017-11-07 01:28:23,55,7895,298
2017-11-07 01:33:23,57,18020,372
2017-11-07 01:38:23,60,15951,429
2017-11-07 01:43:23,61,16636,469
2017-11-07 01:48:23,63,19623,333
2017-11-07 01:53:23,62,13177,323
2017-11-07 01:58:23,61,8149,306
2017-11-07 02:03:23,63,22088,390
2017-11-07 02:08:23,63,9441,343
2017-11-07 02:13:23,63,8949,281
2017-11-07 02:18:23,65,20280,474
2017-11-07 02:23:23,64,17678,349
2017-11-07 02:28:23,66,12595,317
2017-11-07 02:33:23,61,13436,296
2017-11-07 02:38:23,65,9623,250
2017-11-07 02:43:23,59,15712,328
2017-11-07 02:48:23,66,15334,334
2017-11-07 02:53:23,66,30015,560
2017-11-07 02:58:23,67,23468,485
2017-11-07 03:03:23,59,16305,347
2017-11-07 03:08:23,66,13065,312
2017-11-07 03:13:23,65,25955,482
2017-11-07 03:18:23,63,23683,371
2017-11-07 03:23:23,65,20708,352
2017-11-07 03:28:23,58,32187,443
2017-11-07 03:33:23,63,15899,278
2017-11-07 03:38:23,63,7011,224
2017-11-07 03:43:23,63,14675,243
2017-11-07 03:48:23,63,29394,366
2017-11-07 03:53:23,67,23899,259
2017-11-07 03:58:23,66,10175,220
2017-11-07 04:03:23,63,12333,244
2017-11-07 04:08:23,61,11269,234
2017-11-07 04:13:23,61,6862,227
2017-11-07 04:18:23,65,11359,254
2017-11-07 04:23:23,60,10051,231
2017-11-07 04:28:23,60,12100,318
2017-11-07 04:33:23,65,5890,264
2017-11-07 04:38:23,62,10632,235
2017-11-07 04:43:23,66,9439,256
2017-11-07 04:48:23,62,12791,249
2017-11-07 04:53:23,64,11336,338
2017-11-07 04:58:23,64,17107,228
2017-11-07 05:03:23,61,5081,299
2017-11-07 05:08:23,67,10110,260
2017-11-07 05:13:23,61,4138,210
2017-11-07 05:18:23,59,8867,259
2017-11-07 05:23:23,62,4904,200
2017-11-07 05:28:23,61,10364,212
2017-11-07 05:33:23,63,6112,244
2017-11-07 05:38:23,63,11653,234
2017-11-07 05:43:23,66,13375,241
2017-11-07 05:48:23,65,8665,238
2017-11-07 05:53:23,60,7284,258
2017-11-07 05:58:23,62,12623,273
2017-11-07 06:03:23,61,16964,199
2017-11-07 06:08:23,61,12432,201
2017-11-07 06:13:23,60,7122,219
2017-11-07 06:18:23,61,5099,218
2017-11-07 06:23:23,64,13805,217
2017-11-07 06:28:23,66,12068,225
2017-11-07 06:33:23,65,10119,272
2017-11-07 06:38:23,64,8083,229
2017-11-07 06:43:23,65,15682,229
2017-11-07 06:48:23,61,11511,222
2017-11-07 06:53:23,61,6497,236
2017-11-07 06:58:23,62,14346,211
2017-11-07 07:03:23,63,7760,219
2017-11-07 07:08:23,62,11217,232
2017-11-07 07:13:23,61,15462,246
